Tempo;Entrada;Saida;
674029937;2.711630;10.000000;
674129949;2.707415;8.000000;
674229961;2.693146;8.000000;
674329943;2.700929;8.000000;
674429941;2.682769;8.000000;
674530021;2.673689;8.000000;
674629951;2.698335;8.000000;
674729954;2.691525;8.000000;
674829954;2.678229;8.000000;
674929984;2.689579;8.000000;
675029949;2.679850;8.000000;
675129945;2.671419;8.000000;
675229968;2.669797;8.000000;
675329960;2.683742;8.000000;
675429969;2.688606;8.000000;
675529954;2.702226;8.000000;
675629963;2.677256;8.000000;
675729977;2.675959;8.000000;
675829943;2.648719;8.000000;
675929961;2.681147;8.000000;
676030038;2.673040;8.000000;
676129970;2.675310;8.000000;
676229962;2.678229;8.000000;
676329970;2.645800;8.000000;
676429982;2.655205;8.000000;
676529976;2.653259;8.000000;
676629970;2.653908;8.000000;
676729982;2.669797;8.000000;
676829962;2.669149;8.000000;
676929964;2.668500;8.000000;
677029970;2.686985;8.000000;
677129984;2.651638;8.000000;
677229970;2.666555;8.000000;
677330004;2.658448;8.000000;
677430005;2.645800;8.000000;
677529959;2.628938;8.000000;
677629963;2.651962;8.000000;
677729999;2.656178;8.000000;
677829991;2.643530;8.000000;
677929974;2.650016;8.000000;
678029973;2.649692;8.000000;
678129975;2.651638;8.000000;
678229999;2.628289;8.000000;
678329988;2.651638;8.000000;
678430016;2.646449;8.000000;
678529985;2.653259;8.000000;
678630000;2.657799;8.000000;
678729992;2.649692;8.000000;
678829985;2.653583;8.000000;
678929986;2.638018;8.000000;
679029987;2.643206;8.000000;
679130005;2.626668;8.000000;
679230007;2.647098;8.000000;
679330023;2.638018;8.000000;
679429999;2.635099;8.000000;
679530006;2.635748;8.000000;
679630045;2.656826;8.000000;
679730010;2.626343;8.000000;
679829985;2.640612;8.000000;
679930002;2.623100;8.000000;
680029987;2.615318;8.000000;
680130000;2.629262;8.000000;
680230007;2.628938;8.000000;
680330008;2.622128;8.000000;
680430020;2.608183;8.000000;
680530031;2.628938;8.000000;
680630021;2.612399;8.000000;
680730022;2.637045;8.000000;
680830011;2.633802;8.000000;
680930027;2.633478;8.000000;
681030014;2.647746;8.000000;
681130012;2.601698;8.000000;
681230016;2.636072;8.000000;
681330005;2.612723;8.000000;
681430007;2.614345;8.000000;
681530032;2.630883;8.000000;
681630027;2.609156;8.000000;
681730018;2.604941;8.000000;
681830031;2.628289;8.000000;
681930031;2.621479;8.000000;
682030033;2.617588;8.000000;
682130008;2.622128;8.000000;
682230011;2.627640;8.000000;
682330037;2.580295;8.000000;
682430032;2.608832;8.000000;
682530024;2.616939;8.000000;
682630019;2.567324;8.000000;
682730020;2.582565;8.000000;
682830027;2.607535;8.000000;
682930030;2.604292;8.000000;
683030021;2.634126;8.000000;
683130051;2.628289;8.000000;
683230045;2.600725;8.000000;
683330045;2.599103;8.000000;
683430036;2.610778;8.000000;
683530045;2.610453;8.000000;
683630052;2.596509;8.000000;
683730038;2.638990;8.000000;
683830028;2.615642;8.000000;
683930061;2.608508;8.000000;
684030026;2.629586;8.000000;
684130025;2.593915;8.000000;
684230045;2.567972;8.000000;
684330058;2.598779;8.000000;
684430049;2.597806;8.000000;
684530048;2.588078;8.000000;
684630048;2.592293;8.000000;
684730062;2.608183;8.000000;
684830057;2.571863;8.000000;
684930071;2.610453;8.000000;
685030053;2.580295;8.000000;
685130052;2.578349;8.000000;
685230064;2.586456;8.000000;
685330053;2.578025;8.000000;
685430067;2.572188;8.000000;
685530072;2.558568;8.000000;
685630062;2.579322;8.000000;
685730068;2.590023;8.000000;
685830061;2.584511;8.000000;
685930056;2.574133;8.000000;
686030043;2.578998;8.000000;
686130058;2.582889;8.000000;
686230049;2.593266;8.000000;
686330064;2.560189;8.000000;
686430072;2.554676;8.000000;
686530082;2.561162;8.000000;
686630076;2.568296;8.000000;
686730071;2.577052;8.000000;
686830065;2.598455;8.000000;
686930057;2.547542;8.000000;
687030077;2.580295;8.000000;
687130069;2.576403;8.000000;
687230085;2.569918;8.000000;
687330072;2.573161;8.000000;
687430063;2.581592;8.000000;
687530063;2.602346;8.000000;
687630063;2.585159;8.000000;
687730078;2.571863;8.000000;
687830088;2.557595;8.000000;
687930092;2.583213;8.000000;
688030077;2.576403;8.000000;
688130078;2.569269;8.000000;
688230067;2.552731;8.000000;
688330080;2.569918;8.000000;
688430083;2.567324;8.000000;
688530074;2.574133;8.000000;
688630099;2.571539;8.000000;
688730155;2.581592;8.000000;
688830079;2.565378;8.000000;
688930082;2.557595;8.000000;
689030101;2.555325;8.000000;
689130090;2.560189;8.000000;
689230073;2.576403;8.000000;
689330073;2.538138;8.000000;
689430089;2.566351;8.000000;
689530087;2.560189;8.000000;
689630099;2.533274;8.000000;
689730091;2.549164;8.000000;
689830093;2.559541;8.000000;
689930084;2.552731;8.000000;
690030102;2.551758;8.000000;
690130099;2.572512;8.000000;
690230093;2.571539;8.000000;
690330114;2.554028;8.000000;
690430094;2.563108;8.000000;
690530109;2.560189;8.000000;
690630112;2.553704;8.000000;
690730114;2.547866;8.000000;
690830108;2.568296;8.000000;
690930131;2.573485;8.000000;
691030130;2.551109;8.000000;
691130107;2.603643;8.000000;
691230105;2.560514;8.000000;
691330127;2.550461;8.000000;
691430108;2.557595;8.000000;
691530120;2.551109;8.000000;
691630105;2.555001;8.000000;
691730113;2.552731;8.000000;
691830119;2.558892;8.000000;
691930123;2.544624;8.000000;
692030112;2.560838;8.000000;
692130129;2.555001;8.000000;
692230117;2.559541;8.000000;
692330122;2.567648;8.000000;
692430139;2.567324;8.000000;
692530131;2.541056;8.000000;
692630114;2.567972;8.000000;
692730152;2.547542;8.000000;
692830111;2.545596;8.000000;
692930071;2.561162;8.000000;
693030073;2.560838;8.000000;
693130097;2.546245;8.000000;
693230073;2.539759;8.000000;
693330070;2.551109;8.000000;
693430070;2.567972;8.000000;
693530071;2.553704;8.000000;
693630071;2.520627;8.000000;
693730072;2.558568;8.000000;
693830074;2.546245;8.000000;
693930075;2.552731;8.000000;
694030079;2.545596;8.000000;
694130076;2.543002;8.000000;
694230141;2.555325;8.000000;
694330137;2.560838;8.000000;
694430133;2.533922;8.000000;
694530141;2.525167;8.000000;
694630126;2.514789;8.000000;
694730131;2.535868;8.000000;
694830135;2.553055;8.000000;
694930127;2.532301;8.000000;
695030144;2.523869;8.000000;
695130128;2.529058;8.000000;
695230129;2.536192;8.000000;
695330146;2.509925;8.000000;
695430135;2.546894;8.000000;
695530147;2.526788;8.000000;
695630156;2.535544;8.000000;
695730150;2.530355;8.000000;
695830145;2.544624;8.000000;
695930137;2.531976;8.000000;
696030191;2.556946;8.000000;
696130138;2.539435;8.000000;
696230140;2.534246;8.000000;
696330150;2.528734;8.000000;
696430138;2.514789;8.000000;
696530158;2.507979;8.000000;
696630151;2.529706;8.000000;
696730170;2.501818;8.000000;
696830151;2.524842;8.000000;
696930153;2.520302;8.000000;
697030151;2.524518;8.000000;
697130155;2.559541;8.000000;
697230152;2.474578;8.000000;
697330164;2.503115;8.000000;
697430155;2.513168;8.000000;
697530161;2.541705;8.000000;
697630167;2.523869;8.000000;
697730159;2.502142;8.000000;
697830160;2.497602;8.000000;
697930171;2.465498;8.000000;
698030166;2.507331;8.000000;
698130163;2.510574;8.000000;
698230171;2.494684;8.000000;
698330166;2.481064;8.000000;
698430167;2.537489;8.000000;
698530168;2.513817;8.000000;
698630173;2.498251;8.000000;
698730187;2.525167;8.000000;
698830174;2.491441;8.000000;
698930171;2.509925;8.000000;
699030172;2.531328;8.000000;
699130175;2.505385;8.000000;
699230175;2.531004;8.000000;
699330176;2.523545;8.000000;
699430188;2.503115;8.000000;
699530180;2.509277;8.000000;
699630184;2.489819;8.000000;
699730185;2.510249;8.000000;
699830193;2.462904;8.000000;
699930188;2.516087;8.000000;
700030186;2.523221;8.000000;
700130178;2.500845;8.000000;
700230188;2.548839;8.000000;
700330186;2.522572;8.000000;
700430184;2.492738;8.000000;
700530143;2.489819;8.000000;
700630139;2.490144;8.000000;
700730138;2.530679;8.000000;
700830180;2.482361;8.000000;
700930196;2.506034;8.000000;
701030153;2.470362;8.000000;
701130151;2.473605;8.000000;
701230162;2.491765;8.000000;
701330147;2.482361;8.000000;
701430215;2.491765;8.000000;
701530195;2.511871;8.000000;
701630193;2.505709;8.000000;
701730202;2.501169;8.000000;
701830194;2.505709;8.000000;
701930206;2.503439;8.000000;
702030203;2.488198;8.000000;
